state_fips,st,state
48,TX,Texas
06,CA,California
21,KY,Kentucky
13,GA,Georgia
55,WI,Wisconsin
41,OR,Oregon
29,MO,Missouri
51,VA,Virginia
47,TN,Tennessee
22,LA,Louisiana
36,NY,New York
16,ID,Idaho
12,FL,Florida
17,IL,Illinois
30,MT,Montana
27,MN,Minnesota
24,MD,Maryland
19,IA,Iowa
11,DC,District of Columbia
39,OH,Ohio
31,NE,Nebraska
53,WA,Washington
46,SD,South Dakota
05,AR,Arkansas
28,MS,Mississippi
08,CO,Colorado
37,NC,North Carolina
49,UT,Utah
40,OK,Oklahoma
56,WY,Wyoming
54,WV,West Virginia
18,IN,Indiana
25,MA,Massachusetts
32,NV,Nevada
38,ND,North Dakota
42,PA,Pennsylvania
45,SC,South Carolina
23,ME,Maine
44,RI,Rhode Island
09,CT,Connecticut
26,MI,Michigan
10,DE,Delaware
35,NM,New Mexico
01,AL,Alabama
20,KS,Kansas
50,VT,Vermont
34,NJ,New Jersey
33,NH,New Hampshire
04,AZ,Arizona
02,AK,Alaska
15,HI,Hawaii
