race,id,fips_char,fips5,place,fname,lname,party,pab,votes,incumbent,mpc
President,0,01,NA,Alabama,Donald,Trump,REP,R,1434159,1,1
President,0,01,NA,Alabama,Joe,Biden,DEM,D,843473,0,1
President,0,01,NA,Alabama,Jo,Jorgensen,LIB,O,24994,0,0
President,0,01,NA,Alabama,,Write-ins,WRI,O,7274,0,0
President,01019,01,01019,Cherokee County,Donald,Trump,REP,R,10562,1,1
President,01019,01,01019,Cherokee County,Joe,Biden,DEM,D,1619,0,1
President,01019,01,01019,Cherokee County,Jo,Jorgensen,LIB,O,82,0,0
President,01019,01,01019,Cherokee County,,Write-ins,WRI,O,12,0,0
President,01021,01,01021,Chilton County,Donald,Trump,REP,R,16052,1,1
President,01021,01,01021,Chilton County,Joe,Biden,DEM,D,3056,0,1
President,01021,01,01021,Chilton County,Jo,Jorgensen,LIB,O,123,0,0
President,01021,01,01021,Chilton County,,Write-ins,WRI,O,29,0,0
President,01023,01,01023,Choctaw County,Donald,Trump,REP,R,4294,1,1
President,01023,01,01023,Choctaw County,Joe,Biden,DEM,D,3126,0,1
President,01023,01,01023,Choctaw County,Jo,Jorgensen,LIB,O,38,0,0
President,01023,01,01023,Choctaw County,,Write-ins,WRI,O,3,0,0
President,01025,01,01025,Clarke County,Donald,Trump,REP,R,7310,1,1
President,01025,01,01025,Clarke County,Joe,Biden,DEM,D,5730,0,1
President,01025,01,01025,Clarke County,Jo,Jorgensen,LIB,O,48,0,0
President,01025,01,01025,Clarke County,,Write-ins,WRI,O,14,0,0
President,01027,01,01027,Clay County,Donald,Trump,REP,R,5589,1,1
President,01027,01,01027,Clay County,Joe,Biden,DEM,D,1262,0,1
President,01027,01,01027,Clay County,Jo,Jorgensen,LIB,O,53,0,0
President,01027,01,01027,Clay County,,Write-ins,WRI,O,9,0,0
President,01029,01,01029,Cleburne County,Donald,Trump,REP,R,6472,1,1
President,01029,01,01029,Cleburne County,Joe,Biden,DEM,D,672,0,1
President,01029,01,01029,Cleburne County,Jo,Jorgensen,LIB,O,58,0,0
President,01029,01,01029,Cleburne County,,Write-ins,WRI,O,8,0,0
President,01031,01,01031,Coffee County,Donald,Trump,REP,R,16832,1,1
President,01031,01,01031,Coffee County,Joe,Biden,DEM,D,5050,0,1
President,01031,01,01031,Coffee County,Jo,Jorgensen,LIB,O,262,0,0
President,01031,01,01031,Coffee County,,Write-ins,WRI,O,36,0,0
President,01033,01,01033,Colbert County,Donald,Trump,REP,R,17311,1,1
President,01033,01,01033,Colbert County,Joe,Biden,DEM,D,7057,0,1
President,01033,01,01033,Colbert County,Jo,Jorgensen,LIB,O,239,0,0
President,01033,01,01033,Colbert County,,Write-ins,WRI,O,61,0,0
President,01035,01,01035,Conecuh County,Donald,Trump,REP,R,3435,1,1
President,01035,01,01035,Conecuh County,Joe,Biden,DEM,D,2951,0,1
President,01035,01,01035,Conecuh County,Jo,Jorgensen,LIB,O,32,0,0
President,01035,01,01035,Conecuh County,,Write-ins,WRI,O,1,0,0
President,01037,01,01037,Coosa County,Donald,Trump,REP,R,3626,1,1
President,01037,01,01037,Coosa County,Joe,Biden,DEM,D,1794,0,1
President,01037,01,01037,Coosa County,Jo,Jorgensen,LIB,O,46,0,0
President,01037,01,01037,Coosa County,,Write-ins,WRI,O,6,0,0
President,01001,01,01001,Autauga County,Donald,Trump,REP,R,19764,1,1
President,01001,01,01001,Autauga County,Joe,Biden,DEM,D,7450,0,1
President,01001,01,01001,Autauga County,Jo,Jorgensen,LIB,O,346,0,0
President,01001,01,01001,Autauga County,,Write-ins,WRI,O,79,0,0
President,01039,01,01039,Covington County,Donald,Trump,REP,R,14579,1,1
President,01039,01,01039,Covington County,Joe,Biden,DEM,D,2717,0,1
President,01039,01,01039,Covington County,Jo,Jorgensen,LIB,O,97,0,0
President,01039,01,01039,Covington County,,Write-ins,WRI,O,25,0,0
President,01041,01,01041,Crenshaw County,Donald,Trump,REP,R,4864,1,1
President,01041,01,01041,Crenshaw County,Joe,Biden,DEM,D,1700,0,1
President,01041,01,01041,Crenshaw County,Jo,Jorgensen,LIB,O,44,0,0
President,01041,01,01041,Crenshaw County,,Write-ins,WRI,O,9,0,0
President,01043,01,01043,Cullman County,Donald,Trump,REP,R,36804,1,1
President,01043,01,01043,Cullman County,Joe,Biden,DEM,D,4454,0,1
President,01043,01,01043,Cullman County,Jo,Jorgensen,LIB,O,418,0,0
President,01043,01,01043,Cullman County,,Write-ins,WRI,O,75,0,0
President,01045,01,01045,Dale County,Donald,Trump,REP,R,14281,1,1
President,01045,01,01045,Dale County,Joe,Biden,DEM,D,5154,0,1
President,01045,01,01045,Dale County,Jo,Jorgensen,LIB,O,232,0,0
President,01045,01,01045,Dale County,,Write-ins,WRI,O,32,0,0
President,01047,01,01047,Dallas County,Joe,Biden,DEM,D,12228,0,1
President,01047,01,01047,Dallas County,Donald,Trump,REP,R,5523,1,1
President,01047,01,01047,Dallas County,Jo,Jorgensen,LIB,O,90,0,0
President,01047,01,01047,Dallas County,,Write-ins,WRI,O,20,0,0
President,01049,01,01049,DeKalb County,Donald,Trump,REP,R,24744,1,1
President,01049,01,01049,DeKalb County,Joe,Biden,DEM,D,4271,0,1
President,01049,01,01049,DeKalb County,Jo,Jorgensen,LIB,O,250,0,0
President,01049,01,01049,DeKalb County,,Write-ins,WRI,O,57,0,0
President,01051,01,01051,Elmore County,Donald,Trump,REP,R,30089,1,1
President,01051,01,01051,Elmore County,Joe,Biden,DEM,D,10304,0,1
President,01051,01,01051,Elmore County,Jo,Jorgensen,LIB,O,397,0,0
President,01051,01,01051,Elmore County,,Write-ins,WRI,O,101,0,0
President,01053,01,01053,Escambia County,Donald,Trump,REP,R,10844,1,1
President,01053,01,01053,Escambia County,Joe,Biden,DEM,D,4894,0,1
President,01053,01,01053,Escambia County,Jo,Jorgensen,LIB,O,94,0,0
President,01053,01,01053,Escambia County,,Write-ins,WRI,O,29,0,0
President,01055,01,01055,Etowah County,Donald,Trump,REP,R,35343,1,1
President,01055,01,01055,Etowah County,Joe,Biden,DEM,D,11487,0,1
President,01055,01,01055,Etowah County,Jo,Jorgensen,LIB,O,528,0,0
President,01055,01,01055,Etowah County,,Write-ins,WRI,O,102,0,0
President,01057,01,01057,Fayette County,Donald,Trump,REP,R,7295,1,1
President,01057,01,01057,Fayette County,Joe,Biden,DEM,D,1390,0,1
President,01057,01,01057,Fayette County,Jo,Jorgensen,LIB,O,56,0,0
President,01057,01,01057,Fayette County,,Write-ins,WRI,O,15,0,0
President,01003,01,01003,Baldwin County,Donald,Trump,REP,R,83055,1,1
President,01003,01,01003,Baldwin County,Joe,Biden,DEM,D,24344,0,1
President,01003,01,01003,Baldwin County,Jo,Jorgensen,LIB,O,1221,0,0
President,01003,01,01003,Baldwin County,,Write-ins,WRI,O,325,0,0
President,01059,01,01059,Franklin County,Donald,Trump,REP,R,10364,1,1
President,01059,01,01059,Franklin County,Joe,Biden,DEM,D,2085,0,1
President,01059,01,01059,Franklin County,Jo,Jorgensen,LIB,O,105,0,0
President,01059,01,01059,Franklin County,,Write-ins,WRI,O,10,0,0
President,01061,01,01061,Geneva County,Donald,Trump,REP,R,10844,1,1
President,01061,01,01061,Geneva County,Joe,Biden,DEM,D,1592,0,1
President,01061,01,01061,Geneva County,Jo,Jorgensen,LIB,O,90,0,0
President,01061,01,01061,Geneva County,,Write-ins,WRI,O,12,0,0
President,01063,01,01063,Greene County,Joe,Biden,DEM,D,3880,0,1
President,01063,01,01063,Greene County,Donald,Trump,REP,R,875,1,1
President,01063,01,01063,Greene County,Jo,Jorgensen,LIB,O,8,0,0
President,01063,01,01063,Greene County,,Write-ins,WRI,O,8,0,0
President,01065,01,01065,Hale County,Joe,Biden,DEM,D,4687,0,1
President,01065,01,01065,Hale County,Donald,Trump,REP,R,3190,1,1
President,01065,01,01065,Hale County,Jo,Jorgensen,LIB,O,37,0,0
President,01065,01,01065,Hale County,,Write-ins,WRI,O,8,0,0
President,01067,01,01067,Henry County,Donald,Trump,REP,R,6593,1,1
President,01067,01,01067,Henry County,Joe,Biden,DEM,D,2589,0,1
President,01067,01,01067,Henry County,Jo,Jorgensen,LIB,O,69,0,0
President,01067,01,01067,Henry County,,Write-ins,WRI,O,15,0,0
President,01069,01,01069,Houston County,Donald,Trump,REP,R,32384,1,1
President,01069,01,01069,Houston County,Joe,Biden,DEM,D,12738,0,1
President,01069,01,01069,Houston County,Jo,Jorgensen,LIB,O,525,0,0
President,01069,01,01069,Houston County,,Write-ins,WRI,O,103,0,0
President,01071,01,01071,Jackson County,Donald,Trump,REP,R,19644,1,1
President,01071,01,01071,Jackson County,Joe,Biden,DEM,D,3709,0,1
President,01071,01,01071,Jackson County,Jo,Jorgensen,LIB,O,208,0,0
President,01071,01,01071,Jackson County,,Write-ins,WRI,O,41,0,0
President,01073,01,01073,Jefferson County,Joe,Biden,DEM,D,180936,0,1
President,01073,01,01073,Jefferson County,Donald,Trump,REP,R,138443,1,1
President,01073,01,01073,Jefferson County,Jo,Jorgensen,LIB,O,3568,0,0
President,01073,01,01073,Jefferson County,,Write-ins,WRI,O,1728,0,0
President,01075,01,01075,Lamar County,Donald,Trump,REP,R,6168,1,1
President,01075,01,01075,Lamar County,Joe,Biden,DEM,D,978,0,1
President,01075,01,01075,Lamar County,Jo,Jorgensen,LIB,O,33,0,0
President,01075,01,01075,Lamar County,,Write-ins,WRI,O,8,0,0
President,01077,01,01077,Lauderdale County,Donald,Trump,REP,R,31578,1,1
President,01077,01,01077,Lauderdale County,Joe,Biden,DEM,D,11872,0,1
President,01077,01,01077,Lauderdale County,Jo,Jorgensen,LIB,O,533,0,0
President,01077,01,01077,Lauderdale County,,Write-ins,WRI,O,166,0,0
President,01005,01,01005,Barbour County,Donald,Trump,REP,R,5605,1,1
President,01005,01,01005,Barbour County,Joe,Biden,DEM,D,4772,0,1
President,01005,01,01005,Barbour County,Jo,Jorgensen,LIB,O,68,0,0
President,01005,01,01005,Barbour County,,Write-ins,WRI,O,12,0,0
President,01079,01,01079,Lawrence County,Donald,Trump,REP,R,12266,1,1
President,01079,01,01079,Lawrence County,Joe,Biden,DEM,D,3544,0,1
President,01079,01,01079,Lawrence County,Jo,Jorgensen,LIB,O,126,0,0
President,01079,01,01079,Lawrence County,,Write-ins,WRI,O,21,0,0
President,01081,01,01081,Lee County,Donald,Trump,REP,R,42019,1,1
President,01081,01,01081,Lee County,Joe,Biden,DEM,D,27600,0,1
President,01081,01,01081,Lee County,Jo,Jorgensen,LIB,O,1012,0,0
